solver,bench,solution,runtime,confl,props,vprops,vivsucc
sticky,10pipe_k.cnf,20,2583.12,20219038,27840794354,0,0
sticky,14pipe_q0_k.cnf,20,8009.46,29990190,108325436359,0,0
sticky,1dlx_c_iq57_a.cnf,20,3893.43,5014730,56784992588,0,0
sticky,20180321_110706599_p_cnf_320_1120.cnf,10,8660.79,33549282,1528491656,0,0
sticky,20180321_140823961_p_cnf_320_1120.cnf,10,24.84,817414,41982155,0,0
sticky,20180321_140827428_p_cnf_320_1120.cnf,10,5116.98,24061905,1108557391,0,0
sticky,20180321_140833987_p_cnf_320_1120.cnf,10,877.89,7833649,377020635,0,0
sticky,20180322_164238439_p_cnf_320_1120.cnf,10,8796.33,34379156,1558717976,0,0
sticky,20180322_164241329_p_cnf_320_1120.cnf,10,7497.3,30734748,1403711026,0,0
sticky,20180322_164241842_p_cnf_320_1120.cnf,10,890.46,8082793,387818758,0,0
sticky,6-3-8.cnf,10,430.11,3625038,1237918280,0,0
sticky,6-4-6.cnf,10,1828.92,13103374,4634263222,0,0
sticky,9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf,20,804.57,6694072,7599781327,0,0
sticky,9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf,20,8135.52,28931311,92403222304,0,0
sticky,9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf,20,12324,37408530,142913452497,0,0
sticky,a_rphp035_05.cnf,20,1137.03,27694578,883991678,0,0
sticky,a_rphp045_05.cnf,20,7503.72,103096016,4108995042,0,0
sticky,a_rphp055_04.cnf,20,144.57,5129111,208099048,0,0
sticky,a_rphp065_04.cnf,20,333.87,10020378,461557563,0,0
sticky,a_rphp085_04.cnf,20,1406.13,30822205,1807898448,0,0
sticky,a_rphp098_04.cnf,20,3500.25,57224442,3884158470,0,0
sticky,ablmulub16x4o.cnf,20,486.99,3973571,1321866334,0,0
sticky,ablmulub2x32o.cnf,20,1612.59,13757555,2750295991,0,0
sticky,ablmulub8x16o.cnf,20,5697.75,29121057,12095964088,0,0
sticky,ACG-20-10p0.cnf,20,1171.83,819106,11027357289,0,0
sticky,ACG-20-5p1.cnf,10,378.09,302719,3498069778,0,0
sticky,add_01_1000_4.smt2-cvc4.cnf,20,17.34,157057,92983657,0,0
sticky,ae_rphp035_05.cnf,20,1399.68,37232704,1267785047,0,0
sticky,ae_rphp045_05.cnf,20,7918.44,137884094,5981811744,0,0
sticky,ae_rphp055_04.cnf,20,150.72,5932689,262811387,0,0
sticky,ae_rphp075_04.cnf,20,728.88,22095028,1253018854,0,0
sticky,ae_rphp095_04.cnf,20,2732.7,57111441,4080721074,0,0
sticky,aes_32_3_keyfind_2.cnf,10,125.46,2415474,159898847,0,0
sticky,ak016modbtsimpbisc.cnf,20,1300.11,12973139,1952190058,0,0
sticky,ak032diagodiagoisc.cnf,20,926.76,10032337,2402402603,0,0
sticky,ak032modbtmodbtisc.cnf,20,2447.73,18271005,4633249335,0,0
sticky,ak064modasbg2asisc.cnf,10,1651.83,13199730,6118544749,0,0
